Date,Team 1,Team 2,FT,HT
2016-08-12,Bastia,Paris SG,0-1,0-0
2016-08-12,Monaco,Guingamp,2-2,0-2
2016-08-13,Bordeaux,St Etienne,3-2,1-0
2016-08-13,Caen,Lorient,3-2,2-2
2016-08-13,Dijon,Nantes,0-1,0-0
2016-08-13,Metz,Lille,3-2,0-1
2016-08-13,Montpellier,Angers,1-0,1-0
2016-08-14,Marseille,Toulouse,0-0,0-0
2016-08-14,Nancy,Lyon,0-3,0-2
2016-08-14,Nice,Rennes,1-0,0-0
2016-08-19,Lyon,Caen,2-0,1-0
2016-08-20,Angers,Nice,0-1,0-1
2016-08-20,Lille,Dijon,1-0,0-0
2016-08-20,Lorient,Bastia,0-3,0-2
2016-08-20,Nantes,Monaco,0-1,0-1
2016-08-20,Rennes,Nancy,2-0,1-0
2016-08-20,Toulouse,Bordeaux,4-1,2-0
2016-08-21,Guingamp,Marseille,2-1,1-0
2016-08-21,Paris SG,Metz,3-0,0-0
2016-08-21,St Etienne,Montpellier,3-1,0-1
2016-08-26,Marseille,Lorient,2-0,1-0
2016-08-27,Caen,Bastia,2-0,0-0
2016-08-27,Dijon,Lyon,4-2,2-2
2016-08-27,Metz,Angers,2-0,1-0
2016-08-27,Montpellier,Rennes,1-1,1-0
2016-08-27,Nancy,Guingamp,0-2,0-0
2016-08-27,Nice,Lille,1-1,1-1
2016-08-28,Bordeaux,Nantes,1-0,1-0
2016-08-28,Monaco,Paris SG,3-1,2-0
2016-08-28,St Etienne,Toulouse,0-0,0-0
2016-09-09,Paris SG,St Etienne,1-1,0-0
2016-09-10,Angers,Dijon,3-1,1-1
2016-09-10,Bastia,Toulouse,2-1,1-0
2016-09-10,Guingamp,Montpellier,1-1,1-1
2016-09-10,Lille,Monaco,1-4,0-2
2016-09-10,Lorient,Nancy,0-2,0-1
2016-09-10,Lyon,Bordeaux,1-3,1-1
2016-09-11,Nantes,Metz,0-3,0-2
2016-09-11,Nice,Marseille,3-2,1-1
2016-09-11,Rennes,Caen,2-0,0-0
2016-09-16,Caen,Paris SG,0-6,0-4
2016-09-17,Bordeaux,Angers,0-1,0-1
2016-09-17,Dijon,Metz,0-0,0-0
2016-09-17,Lorient,Lille,1-0,0-0
2016-09-17,Monaco,Rennes,3-0,1-0
2016-09-17,Nancy,Nantes,1-1,0-0
2016-09-17,Toulouse,Guingamp,2-1,0-0
2016-09-18,Marseille,Lyon,0-0,0-0
2016-09-18,Montpellier,Nice,1-1,0-0
2016-09-18,St Etienne,Bastia,1-0,0-0
2016-09-20,Lille,Toulouse,1-2,1-1
2016-09-20,Paris SG,Dijon,3-0,2-0
2016-09-21,Angers,Caen,2-1,1-0
2016-09-21,Bastia,Nancy,0-0,0-0
2016-09-21,Guingamp,Lorient,1-0,0-0
2016-09-21,Lyon,Montpellier,5-1,2-1
2016-09-21,Metz,Bordeaux,0-3,0-1
2016-09-21,Nantes,St Etienne,0-0,0-0
2016-09-21,Nice,Monaco,4-0,2-0
2016-09-21,Rennes,Marseille,3-2,1-1
2016-09-23,Toulouse,Paris SG,2-0,0-0
2016-09-24,Bastia,Guingamp,1-0,0-0
2016-09-24,Bordeaux,Caen,0-0,0-0
2016-09-24,Dijon,Rennes,3-0,2-0
2016-09-24,Lorient,Lyon,1-0,0-0
2016-09-24,Monaco,Angers,2-1,0-0
2016-09-24,Montpellier,Metz,0-1,0-1
2016-09-25,Marseille,Nantes,2-1,1-1
2016-09-25,Nancy,Nice,0-1,0-0
2016-09-25,St Etienne,Lille,3-1,0-0
2016-09-30,Rennes,Guingamp,1-0,0-0
2016-10-01,Caen,Toulouse,1-0,0-0
2016-10-01,Dijon,Montpellier,3-3,1-2
2016-10-01,Lille,Nancy,1-0,0-0
2016-10-01,Metz,Monaco,0-7,0-3
2016-10-01,Nantes,Bastia,1-0,1-0
2016-10-01,Paris SG,Bordeaux,2-0,2-0
2016-10-02,Angers,Marseille,1-1,0-0
2016-10-02,Lyon,St Etienne,2-0,1-0
2016-10-02,Nice,Lorient,2-1,1-0
2016-10-14,Nice,Lyon,2-0,1-0
2016-10-14,Toulouse,Monaco,3-1,0-1
2016-10-15,Bastia,Angers,1-2,1-1
2016-10-15,Guingamp,Lille,1-0,1-0
2016-10-15,Lorient,Nantes,1-2,0-1
2016-10-15,Montpellier,Caen,3-2,1-1
2016-10-15,Nancy,Paris SG,1-2,0-2
2016-10-16,Marseille,Metz,1-0,1-0
2016-10-16,Rennes,Bordeaux,1-1,1-0
2016-10-16,St Etienne,Dijon,1-1,0-1
2016-10-21,Monaco,Montpellier,6-2,1-1
2016-10-22,Angers,Toulouse,0-0,0-0
2016-10-22,Bordeaux,Nancy,1-1,0-0
2016-10-22,Dijon,Lorient,1-0,0-0
2016-10-22,Lille,Bastia,2-1,0-0
2016-10-22,Lyon,Guingamp,1-3,1-0
2016-10-22,Nantes,Rennes,1-2,1-0
2016-10-23,Caen,St Etienne,0-2,0-0
2016-10-23,Metz,Nice,2-4,1-2
2016-10-23,Paris SG,Marseille,0-0,0-0
2016-10-28,Lille,Paris SG,0-1,0-0
2016-10-29,Bastia,Dijon,0-0,0-0
2016-10-29,Guingamp,Angers,1-0,0-0
2016-10-29,Lorient,Montpellier,2-2,2-1
2016-10-29,Nancy,Caen,2-0,2-0
2016-10-29,St Etienne,Monaco,1-1,1-1
2016-10-29,Toulouse,Lyon,1-2,1-1
2016-10-30,Marseille,Bordeaux,0-0,0-0
2016-10-30,Nice,Nantes,4-1,2-0
2016-10-30,Rennes,Metz,1-0,0-0
2016-11-04,Montpellier,Marseille,3-1,2-0
2016-11-05,Angers,Lille,1-0,0-0
2016-11-05,Bordeaux,Lorient,2-1,1-0
2016-11-05,Dijon,Guingamp,3-3,3-1
2016-11-05,Lyon,Bastia,2-1,1-0
2016-11-05,Monaco,Nancy,6-0,2-0
2016-11-05,Nantes,Toulouse,1-1,0-1
2016-11-06,Caen,Nice,1-0,1-0
