Round,Date,Team 1,FT,HT,Team 2
?,(Thu) 28 Jul 1994 (W30),Girondins de Bordeaux (1),1-0,?,OGC Nice (1)
?,(Fri) 29 Jul 1994 (W30),AS Cannes (1),0-0,?,SC Bastia (1)
?,(Fri) 29 Jul 1994 (W30),Le Havre AC (1),0-0,?,Paris Saint-Germain (1)
?,(Fri) 29 Jul 1994 (W30),RC Lens (1),1-1,?,Lille OSC (1)
?,(Fri) 29 Jul 1994 (W30),AS Monaco (1),0-1,?,FC Metz (1)
?,(Fri) 29 Jul 1994 (W30),Montpellier HSC (1),0-1,?,FC Martigues (1)
?,(Fri) 29 Jul 1994 (W30),FC Nantes (1),1-1,?,Olympique Lyonnais (1)
?,(Fri) 29 Jul 1994 (W30),FC Sochaux-Montbéliard (1),2-0,?,Stade Malherbe Caen (1)
?,(Fri) 29 Jul 1994 (W30),AS Saint-Étienne (1),1-1,?,Stade Rennais FC (1)
?,(Fri) 29 Jul 1994 (W30),RC Strasbourg (1),1-1,?,AJ Auxerre (1)
?,(Mon) 1 Aug 1994 (W31),AJ Auxerre (2),1-2,?,FC Nantes (2)
?,(Tue) 2 Aug 1994 (W31),Stade Malherbe Caen (2),0-1,?,AS Cannes (2)
?,(Tue) 2 Aug 1994 (W31),Lille OSC (2),1-0,?,RC Strasbourg (2)
?,(Tue) 2 Aug 1994 (W31),Olympique Lyonnais (2),3-1,?,AS Monaco (2)
?,(Tue) 2 Aug 1994 (W31),FC Martigues (2),1-1,?,AS Saint-Étienne (2)
?,(Tue) 2 Aug 1994 (W31),FC Metz (2),1-2,?,SC Bastia (2)
?,(Tue) 2 Aug 1994 (W31),Montpellier HSC (2),0-1,?,Girondins de Bordeaux (2)
?,(Tue) 2 Aug 1994 (W31),OGC Nice (2),1-0,?,FC Sochaux-Montbéliard (2)
?,(Tue) 2 Aug 1994 (W31),Paris Saint-Germain (2),1-0,?,RC Lens (2)
?,(Tue) 2 Aug 1994 (W31),Stade Rennais FC (2),0-0,?,Le Havre AC (2)
?,(Fri) 5 Aug 1994 (W31),Girondins de Bordeaux (3),1-1,?,FC Martigues (3)
?,(Fri) 5 Aug 1994 (W31),AS Cannes (3),1-0,?,FC Metz (3)
?,(Fri) 5 Aug 1994 (W31),Le Havre AC (3),1-1,?,OGC Nice (3)
?,(Fri) 5 Aug 1994 (W31),RC Lens (3),5-0,?,Stade Rennais FC (3)
?,(Fri) 5 Aug 1994 (W31),AS Monaco (3),0-0,?,AJ Auxerre (3)
?,(Fri) 5 Aug 1994 (W31),FC Nantes (3),2-1,?,Stade Malherbe Caen (3)
?,(Fri) 5 Aug 1994 (W31),FC Sochaux-Montbéliard (3),3-0,?,Lille OSC (3)
?,(Fri) 5 Aug 1994 (W31),AS Saint-Étienne (3),4-0,?,Montpellier HSC (3)
?,(Fri) 5 Aug 1994 (W31),RC Strasbourg (3),2-0,?,Paris Saint-Germain (3)
?,(Sat) 6 Aug 1994 (W31),SC Bastia (3),0-1,?,Olympique Lyonnais (3)
?,(Fri) 12 Aug 1994 (W32),Stade Malherbe Caen (4),0-1,?,AS Monaco (4)
?,(Sat) 13 Aug 1994 (W32),AJ Auxerre (4),2-1,?,SC Bastia (4)
?,(Sat) 13 Aug 1994 (W32),Lille OSC (4),1-2,?,FC Nantes (4)
?,(Sat) 13 Aug 1994 (W32),Olympique Lyonnais (4),1-0,?,FC Metz (4)
?,(Sat) 13 Aug 1994 (W32),FC Martigues (4),2-1,?,Le Havre AC (4)
?,(Sat) 13 Aug 1994 (W32),Montpellier HSC (4),1-2,?,RC Lens (4)
?,(Sat) 13 Aug 1994 (W32),OGC Nice (4),2-1,?,AS Cannes (4)
?,(Sat) 13 Aug 1994 (W32),Paris Saint-Germain (4),1-1,?,FC Sochaux-Montbéliard (4)
?,(Sat) 13 Aug 1994 (W32),Stade Rennais FC (4),2-0,?,Girondins de Bordeaux (4)
?,(Sat) 13 Aug 1994 (W32),AS Saint-Étienne (4),2-0,?,RC Strasbourg (4)
?,(Fri) 19 Aug 1994 (W33),FC Nantes (5),1-0,?,Paris Saint-Germain (5)
?,(Sat) 20 Aug 1994 (W33),SC Bastia (5),1-0,?,Stade Malherbe Caen (5)
?,(Sat) 20 Aug 1994 (W33),Girondins de Bordeaux (5),2-1,?,AS Saint-Étienne (5)
?,(Sat) 20 Aug 1994 (W33),AS Cannes (5),5-1,?,Olympique Lyonnais (5)
?,(Sat) 20 Aug 1994 (W33),Le Havre AC (5),1-2,?,Montpellier HSC (5)
?,(Sat) 20 Aug 1994 (W33),RC Lens (5),2-1,?,FC Martigues (5)
?,(Sat) 20 Aug 1994 (W33),FC Metz (5),1-1,?,AJ Auxerre (5)
?,(Sat) 20 Aug 1994 (W33),AS Monaco (5),2-0,?,Lille OSC (5)
?,(Sat) 20 Aug 1994 (W33),FC Sochaux-Montbéliard (5),1-3,?,Stade Rennais FC (5)
?,(Sat) 20 Aug 1994 (W33),RC Strasbourg (5),3-2,?,OGC Nice (5)
?,(Fri) 26 Aug 1994 (W34),Stade Rennais FC (6),1-1,?,RC Strasbourg (6)
?,(Sat) 27 Aug 1994 (W34),AJ Auxerre (6),0-0,?,Olympique Lyonnais (6)
?,(Sat) 27 Aug 1994 (W34),Girondins de Bordeaux (6),0-2,?,AS Cannes (6)
?,(Sat) 27 Aug 1994 (W34),Stade Malherbe Caen (6),2-0,?,FC Metz (6)
?,(Sat) 27 Aug 1994 (W34),Lille OSC (6),3-0,?,SC Bastia (6)
?,(Sat) 27 Aug 1994 (W34),FC Martigues (6),2-0,?,FC Sochaux-Montbéliard (6)
?,(Sat) 27 Aug 1994 (W34),Montpellier HSC (6),2-2,?,FC Nantes (6)
?,(Sat) 27 Aug 1994 (W34),OGC Nice (6),1-1,?,RC Lens (6)
?,(Sat) 27 Aug 1994 (W34),Paris Saint-Germain (6),1-0,?,AS Monaco (6)
?,(Sat) 27 Aug 1994 (W34),AS Saint-Étienne (6),4-1,?,Le Havre AC (6)
?,(Tue) 30 Aug 1994 (W35),AS Cannes (7),3-1,?,AJ Auxerre (7)
?,(Wed) 31 Aug 1994 (W35),SC Bastia (7),1-2,?,Paris Saint-Germain (7)
?,(Wed) 31 Aug 1994 (W35),Le Havre AC (7),1-1,?,Girondins de Bordeaux (7)
?,(Wed) 31 Aug 1994 (W35),RC Lens (7),0-0,?,AS Saint-Étienne (7)
?,(Wed) 31 Aug 1994 (W35),Olympique Lyonnais (7),1-0,?,Stade Malherbe Caen (7)
?,(Wed) 31 Aug 1994 (W35),FC Metz (7),1-1,?,Lille OSC (7)
?,(Wed) 31 Aug 1994 (W35),AS Monaco (7),0-2,?,OGC Nice (7)
?,(Wed) 31 Aug 1994 (W35),FC Nantes (7),2-0,?,Stade Rennais FC (7)
?,(Wed) 31 Aug 1994 (W35),FC Sochaux-Montbéliard (7),2-0,?,Montpellier HSC (7)
?,(Wed) 31 Aug 1994 (W35),RC Strasbourg (7),5-0,?,FC Martigues (7)
?,(Fri) 9 Sep 1994 (W36),Stade Rennais FC (8),3-1,?,AS Cannes (8)
?,(Sat) 10 Sep 1994 (W36),Girondins de Bordeaux (8),1-2,?,RC Lens (8)
?,(Sat) 10 Sep 1994 (W36),Stade Malherbe Caen (8),1-5,?,AJ Auxerre (8)
?,(Sat) 10 Sep 1994 (W36),Le Havre AC (8),1-0,?,AS Monaco (8)
?,(Sat) 10 Sep 1994 (W36),Lille OSC (8),1-4,?,Olympique Lyonnais (8)
?,(Sat) 10 Sep 1994 (W36),FC Martigues (8),3-3,?,FC Nantes (8)
?,(Sat) 10 Sep 1994 (W36),Montpellier HSC (8),1-1,?,RC Strasbourg (8)
?,(Sat) 10 Sep 1994 (W36),OGC Nice (8),1-2,?,SC Bastia (8)
?,(Sat) 10 Sep 1994 (W36),Paris Saint-Germain (8),3-0,?,FC Metz (8)
